"essay","model","score"
"24020_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.711121
"24020_1","DATASET_2_xgb_est_300_depth_5",0.696952
"24020_1","DATASET_2_xgb_est_400_depth_6",0.705414
"24020_1","DATASET_2_xgb_est_100_depth_3",0.718355
"24020_1","DATASET_1_xgb_est_200_depth_8",0.715767
"24020_1","DATASET_3_nn_1",0.627292
"24020_1","DATASET_1_xgb_est_100_depth_3",0.710196
"24020_1","DATASET_2_xgb_est_400_depth_3",0.727322
"24020_1","DATASET_2_xgb_est_300_depth_3",0.730155
"24020_1","DATASET_3_xgb_est_200_depth_6",0.706416
"24020_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.717612
"24020_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.719185
"24020_1","DATASET_1_xgb_est_300_depth_6",0.712714
"24020_1","DATASET_1_xgb_est_200_depth_3",0.718038
"24020_1","DATASET_3_xgb_est_200_depth_5",0.710606
"24020_1","DATASET_1_xgb_est_400_depth_3",0.732716
"24020_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.712322
"24020_1","DATASET_2_xgb_est_100_depth_8",0.699263
"24020_1","DATASET_1_xgb_est_400_depth_4",0.703175
"24020_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.679945
"24020_1","DATASET_3_nn_2",0.617777
"24020_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.705509
"24020_1","DATASET_2_nn_2",0.613719
"24020_1","DATASET_1_xgb_est_200_depth_4",0.718424
"24020_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.724349
"24020_1","DATASET_1_nn_1",0.616854
"24020_1","DATASET_3_xgb_est_200_depth_4",0.715304
"24020_1","DATASET_1_xgb_est_100_depth_5",0.725246
"24020_1","DATASET_1_xgb_est_300_depth_3",0.726754
"24020_1","DATASET_3_rf_1",0.643053
"24020_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.706382
"24020_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.721425
"24020_1","DATASET_3_xgb_est_200_depth_8",0.692419
"24020_1","DATASET_2_xgb_est_100_depth_10",0.706711
"24020_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.72319
"24020_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.697569
"24020_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.723581
"24020_1","DATASET_2_xgb_est_100_depth_6",0.71038
"24020_1","DATASET_2_xgb_est_200_depth_8",0.701767
"24020_1","DATASET_3_xgb_est_100_depth_4",0.71482
"24020_1","DATASET_3_xgb_est_300_depth_4",0.717863
"24020_1","DATASET_2_xgb_est_400_depth_4",0.708993
"24020_1","DATASET_4_nn_2",0.64956
"24020_1","DATASET_3_xgb_est_300_depth_5",0.702823
"24020_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.703107
"24020_1","DATASET_1_xgb_est_100_depth_6",0.719185
"24020_1","DATASET_2_xgb_est_100_depth_5",0.717667
"24020_1","DATASET_3_xgb_est_200_depth_10",0.694729
"24020_1","DATASET_3_xgb_est_100_depth_5",0.708585
"24020_1","DATASET_3_xgb_est_100_depth_6",0.718377
"24020_1","DATASET_1_xgb_est_300_depth_4",0.706178
"24020_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.712251
"24020_1","DATASET_3_xgb_est_100_depth_3",0.717982
"24020_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.722105
"24020_1","DATASET_1_xgb_est_100_depth_10",0.720703
"24020_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.724317
"24020_1","DATASET_2_xgb_est_400_depth_8",0.702339
"24020_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.722617
"24020_1","DATASET_8_nn_3",0.577734
"24020_1","DATASET_1_nn_2",0.591217
"24020_1","DATASET_2_xgb_est_300_depth_4",0.711345
"24020_1","DATASET_1_xgb_est_300_depth_10",0.705004
"24020_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.712714
"24020_1","DATASET_4_nn_1",0.678872
"24020_1","DATASET_2_xgb_est_200_depth_6",0.706382
"24020_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.715794
"24020_1","DATASET_2_xgb_est_200_depth_5",0.705758
"24020_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.71038
"24020_1","DATASET_1_xgb_est_100_depth_4",0.724381
"24020_1","DATASET_3_xgb_est_300_depth_6",0.703483
"24020_1","DATASET_1_xgb_est_100_depth_8",0.704382
"24020_1","DATASET_2_xgb_est_300_depth_8",0.702176
"24020_1","DATASET_2_xgb_est_400_depth_5",0.70527
"24020_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.71218
"24020_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.700742
"24020_1","DATASET_2_xgb_est_400_depth_10",0.704343
"24020_1","DATASET_2_xgb_est_200_depth_10",0.702006
"24020_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.708294
"24020_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.724317
"24020_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.715658
"24020_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.709197
"24020_1","DATASET_1_xgb_est_400_depth_6",0.711998
"24020_1","DATASET_1_xgb_est_400_depth_8",0.70691
"24020_1","DATASET_3_xgb_est_300_depth_3",0.72248
"24020_1","DATASET_3_xgb_est_100_depth_8",0.700576
"24020_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.687671
"24020_1","DATASET_2_xgb_est_300_depth_6",0.707451
"24020_1","DATASET_2_xgb_est_200_depth_4",0.716515
"24020_1","DATASET_5_nn_1",0.675168
"24020_1","HUMAN",0.826444
"24020_1","ENSEMBLE",0.734424
"24027_1","DATASET_3_xgb_est_200_depth_10",0.726807
"24027_1","DATASET_1_xgb_est_100_depth_3",0.73009
"24027_1","DATASET_1_nn_2",0.676407
"24027_1","DATASET_2_xgb_est_100_depth_6",0.721578
"24027_1","DATASET_2_xgb_est_100_depth_8",0.728639
"24027_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.715471
"24027_1","DATASET_1_xgb_est_400_depth_10",0.73565
"24027_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.730926
"24027_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.729787
"24027_1","DATASET_1_xgb_est_400_depth_8",0.722113
"24027_1","DATASET_1_xgb_est_100_depth_10",0.733444
"24027_1","DATASET_2_xgb_est_400_depth_10",0.7088
"24027_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.726807
"24027_1","DATASET_3_xgb_est_100_depth_10",0.718545
"24027_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.725754
"24027_1","DATASET_2_xgb_est_300_depth_6",0.728639
"24027_1","DATASET_2_xgb_est_200_depth_10",0.705738
"24027_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.724589
"24027_1","DATASET_2_xgb_est_300_depth_10",0.712845
"24027_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.728639
"24027_1","DATASET_8_nn_3",0.67697
"24027_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.721578
"24027_1","DATASET_3_xgb_est_200_depth_5",0.742612
"24027_1","DATASET_3_xgb_est_300_depth_6",0.726807
"24027_1","DATASET_1_xgb_est_100_depth_5",0.693996
"24027_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.728727
"24027_1","DATASET_3_xgb_est_200_depth_8",0.723806
"24027_1","DATASET_3_xgb_est_300_depth_3",0.720057
"24027_1","DATASET_2_xgb_est_200_depth_3",0.735313
"24027_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.741886
"24027_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.74336
"24027_1","DATASET_5_nn_1",0.702944
"24027_1","DATASET_1_xgb_est_200_depth_6",0.728254
"24027_1","DATASET_2_xgb_est_200_depth_5",0.731614
"24027_1","DATASET_1_xgb_est_400_depth_4",0.734942
"24027_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.713855
"24027_1","DATASET_3_nn_2",0.68722
"24027_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.714873
"24027_1","DATASET_1_xgb_est_200_depth_4",0.719902
"24027_1","DATASET_1_xgb_est_300_depth_3",0.730168
"24027_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.734195
"24027_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.729787
"24027_1","DATASET_2_nn_1",0.691751
"24027_1","DATASET_1_xgb_est_200_depth_5",0.703781
"24027_1","DATASET_1_xgb_est_100_depth_6",0.717513
"24027_1","DATASET_3_xgb_est_200_depth_3",0.718482
"24027_1","DATASET_3_xgb_est_100_depth_6",0.71203
"24027_1","DATASET_3_xgb_est_300_depth_5",0.736023
"24027_1","DATASET_1_xgb_est_200_depth_10",0.736366
"24027_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.753289
"24027_1","DATASET_3_xgb_est_100_depth_3",0.718086
"24027_1","DATASET_2_xgb_est_200_depth_6",0.73382
"24027_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.728727
"24027_1","DATASET_1_xgb_est_200_depth_8",0.719902
"24027_1","DATASET_1_xgb_est_300_depth_10",0.736739
"24027_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.73382
"24027_1","DATASET_1_xgb_est_400_depth_3",0.718877
"24027_1","DATASET_3_xgb_est_100_depth_5",0.732689
"24027_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.752492
"24027_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.717513
"24027_1","DATASET_1_xgb_est_400_depth_6",0.723152
"24027_1","DATASET_2_xgb_est_400_depth_8",0.73237
"24027_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.719744
"24027_1","DATASET_2_xgb_est_300_depth_4",0.740053
"24027_1","DATASET_2_xgb_est_100_depth_4",0.720934
"24027_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.721973
"24027_1","DATASET_2_xgb_est_400_depth_6",0.741522
"24027_1","DATASET_1_nn_1",0.674604
"24027_1","DATASET_2_xgb_est_400_depth_5",0.738222
"24027_1","DATASET_2_xgb_est_100_depth_5",0.705173
"24027_1","DATASET_1_xgb_est_300_depth_4",0.72367
"24027_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.712845
"24027_1","DATASET_4_nn_2",0.720142
"24027_1","DATASET_3_xgb_est_200_depth_4",0.727962
"24027_1","DATASET_1_xgb_est_300_depth_8",0.727962
"24027_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.721578
"24027_1","DATASET_1_xgb_est_300_depth_5",0.715261
"24027_1","DATASET_1_xgb_est_100_depth_4",0.723806
"24027_1","DATASET_3_xgb_est_300_depth_4",0.736394
"24027_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.728254
"24027_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.711435
"24027_1","DATASET_2_xgb_est_200_depth_8",0.721328
"24027_1","DATASET_3_xgb_est_100_depth_4",0.734195
"24027_1","DATASET_2_xgb_est_400_depth_3",0.725864
"24027_1","DATASET_2_xgb_est_300_depth_5",0.73382
"24027_1","DATASET_3_rf_1",0.703634
"24027_1","DATASET_1_xgb_est_400_depth_5",0.717068
"24027_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.707143
"24027_1","DATASET_2_nn_2",0.680489
"24027_1","DATASET_2_xgb_est_300_depth_3",0.730547
"24027_1","DATASET_1_xgb_est_300_depth_6",0.727193
"24027_1","DATASET_2_xgb_est_300_depth_8",0.72614
"24027_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.701976
"24027_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.727193
"24027_1","DATASET_1_xgb_est_100_depth_8",0.712247
"24027_1","DATASET_3_xgb_est_100_depth_8",0.730473
"24027_1","DATASET_4_nn_1",0.722504
"24027_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.744083
"24027_1","DATASET_1_xgb_est_200_depth_3",0.722504
"24027_1","DATASET_3_nn_1",0.695291
"24027_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.727578
"24027_1","DATASET_2_xgb_est_200_depth_4",0.733067
"24027_1","DATASET_3_xgb_est_200_depth_6",0.736394
"24027_1","DATASET_2_xgb_est_400_depth_4",0.747698
"24027_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.72642
"24027_1","DATASET_2_xgb_est_100_depth_3",0.747401
"24027_1","DATASET_2_xgb_est_100_depth_10",0.700829
"24027_1","HUMAN",0.826955
"24027_1","ENSEMBLE",0.725754
"24219_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.871191
"24219_1","DATASET_1_nn_1",0.791566
"24219_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.856129
"24219_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.851665
"24219_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.865057
"24219_1","DATASET_1_nn_2",0.795986
"24219_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.855582
"24219_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.880164
"24219_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.86737
"24219_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.866862
"24219_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.873538
"24219_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.865057
"24219_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.851665
"24219_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.86737
"24219_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.857845
"24219_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.857845
"24219_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.883458
"24219_1","DATASET_2_nn_2",0.792068
"24219_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.855582
"24219_1","DATASET_8_nn_3",0.783879
"24219_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.881514
"24219_1","DATASET_5_nn_1",0.819396
"24219_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.871191
"24219_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.8707
"24219_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.858923
"24219_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.857845
"24219_1","DATASET_4_nn_2",0.843884
"24219_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.880164
"24219_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.86737
"24219_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.883458
"24219_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.878247
"24219_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.874495
"24219_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.871191
"24219_1","DATASET_2_nn_1",0.793675
"24219_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.881067
"24219_1","DATASET_3_nn_1",0.810971
"24219_1","DATASET_4_nn_1",0.845484
"24219_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.86067
"24219_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.865057
"24219_1","DATASET_3_nn_2",0.801905
"24219_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.861201
"24219_1","DATASET_3_rf_1",0.867873
"24219_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.880617
"24219_1","HUMAN",0.919351
"24219_1","ENSEMBLE",0.890423
"26399_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.78522
"26399_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.781764
"26399_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.774162
"26399_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.794455
"26399_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.791542
"26399_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.796753
"26399_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.797396
"26399_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.797312
"26399_1","DATASET_4_nn_2",0.75794
"26399_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.768973
"26399_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.792114
"26399_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.785066
"26399_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.784077
"26399_1","DATASET_3_rf_1",0.77301
"26399_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.789598
"26399_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.790331
"26399_1","DATASET_5_nn_1",0.785104
"26399_1","DATASET_3_nn_1",0.794262
"26399_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.782765
"26399_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.792707
"26399_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.784824
"26399_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.79509
"26399_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.795236
"26399_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.78637
"26399_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.795163
"26399_1","DATASET_2_nn_2",0.785523
"26399_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.783253
"26399_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.795121
"26399_1","DATASET_8_nn_3",0.783236
"26399_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.792495
"26399_1","DATASET_2_nn_1",0.804382
"26399_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.78325
"26399_1","DATASET_1_nn_1",0.786768
"26399_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.79368
"26399_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.789849
"26399_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.790751
"26399_1","DATASET_3_nn_2",0.782169
"26399_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.78085
"26399_1","DATASET_1_nn_2",0.78451
"26399_1","DATASET_6_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.784426
"26399_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.797044
"26399_1","DATASET_4_nn_1",0.778974
"26399_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.789636
"26399_1","HUMAN",0.698064
"26399_1","ENSEMBLE",0.812688
"26407_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.665148
"26407_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.676544
"26407_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.65211
"26407_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.641327
"26407_1","DATASET_1_nn_2",0.554645
"26407_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.619226
"26407_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.653695
"26407_1","DATASET_4_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.643565
"26407_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.674329
"26407_1","DATASET_8_nn_3",0.577888
"26407_1","DATASET_4_nn_1",0.609289
"26407_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.634192
"26407_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.628247
"26407_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=50",0.62223
"26407_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.68032
"26407_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.652432
"26407_1","DATASET_7_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.684942
"26407_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.660576
"26407_1","DATASET_8_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=200",0.637441
"26407_1","DATASET_2_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.643949
"26407_1","DATASET_3_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.618223
"26407_1","DATASET_5_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=100",0.668393
"26407_1","DATASET_5_nn_1",0.602385
"26407_1","DATASET_1_xgb_objective=binary:logistic_nthread=6_eta=0.1_max_depth=6_silent=1_ntrees=300",0.649631
